,0
0,0.143
1,0.034
2,0.198
3,0.033
4,0.189
5,0.038
6,0.164
7,0.07
8,0.128
9,0.109
10,0.085
11,0.147
12,0.052
13,0.327
14,0.462
15,0.279
16,0.315
17,0.542
18,1.601
19,1.747
20,1.573
21,1.476
22,1.451
23,1.379
24,1.38
25,1.161
26,1.3
27,1.18
28,1.272
29,1.22
30,1.267
31,1.172
32,1.39
33,1.408
34,1.511
35,1.506
36,1.519
37,1.489
38,1.458
39,1.329
40,1.489
41,1.379
42,1.455
43,1.049
44,0.534
45,0.374
46,0.13
47,0.168
48,0.076
49,0.157
50,0.073
51,0.176
52,0.044
53,0.213
54,0.102
55,0.115
56,0.161
57,0.052
58,0.192
59,0.222
60,0.197
61,1.061
62,1.563
63,1.277
64,1.341
65,1.319
66,1.39
67,1.333
68,1.401
69,1.321
70,1.337
71,1.307
72,1.368
73,1.402
74,1.256
75,1.327
76,1.281
77,1.11
78,1.184
79,1.241
80,1.134
81,1.288
82,1.428
83,1.554
84,1.494
85,1.48
86,1.316
87,1.452
88,1.262
89,0.667
90,0.425
91,0.109
92,0.121
93,0.052
94,0.153
95,0.047
96,0.118
97,0.122
98,0.055
99,0.135
100,0.072
101,0.117
102,0.119
103,0.049
104,0.138
105,0.077
106,0.093
107,0.132
108,0.043
109,1.313
110,1.507
111,1.266
112,1.418
113,1.41
114,1.48
115,1.335
116,1.337
117,1.287
118,1.341
119,1.297
120,1.385
121,1.275
122,1.257
123,1.297
124,1.207
125,1.312
126,1.216
127,0.956
128,1.338
129,1.343
130,1.396
131,1.426
132,1.392
133,1.561
134,1.444
135,1.446
136,1.437
137,1.39
138,0.668
139,0.448
140,0.202
141,0.213
142,0.138
143,0.092
144,0.144
145,0.206
146,0.121
147,0.205
148,0.175
149,0.146
150,0.209
151,0.149
152,0.169
153,0.206
154,0.129
155,0.187
156,0.158
157,0.971
158,1.463
159,1.381
160,1.282
161,1.325
162,1.337
163,1.292
164,1.388
165,1.406
166,1.307
167,1.402
168,1.397
169,1.596
170,1.45
171,1.455
172,1.336
173,1.376
174,1.104
175,1.326
176,1.285
177,1.301
178,1.276
179,1.455
180,1.552
181,0.823
182,0.225
183,0.418
184,0.477
185,0.385
186,0.092
187,0.13
188,0.054
189,0.11
190,0.131
191,0.034
192,0.131
193,0.115
194,0.056
195,0.133
196,0.084
197,0.08
198,0.189
199,0.178
200,0.207
201,0.119
202,0.107
203,0.07
204,0.445
205,1.274
206,1.457
207,1.328
208,1.274
209,1.311
210,1.372
211,1.374
212,1.465
213,1.173
214,1.382
215,1.377
216,1.267
217,1.33
218,1.48
219,1.329
220,1.573
221,1.268
222,2.096
223,2.125
224,1.808
225,1.525
226,1.508
227,1.7
228,1.502
229,1.433
230,1.49
231,1.394
232,1.421
233,0.479
